rsid	go	term
rs17407280	GO:0000166	nucleotide binding
rs17407280	GO:0001750	photoreceptor outer segment
rs17407280	GO:0001917	photoreceptor inner segment
rs17407280	GO:0003777	microtubule motor activity
rs17407280	GO:0005524	ATP binding
rs17407280	GO:0005737	cytoplasm
rs17407280	GO:0005815	microtubule organizing center
rs17407280	GO:0005829	cytosol
rs17407280	GO:0005856	cytoskeleton
rs17407280	GO:0005871	kinesin complex
rs17407280	GO:0005874	microtubule
rs17407280	GO:0005929	cilium
rs17407280	GO:0005930	axoneme
rs17407280	GO:0007017	microtubule-based process
rs17407280	GO:0007018	microtubule-based movement
rs17407280	GO:0008017	microtubule binding
rs17407280	GO:0008574	plus-end-directed microtubule motor activity
rs17407280	GO:0015031	protein transport
rs17407280	GO:0015630	microtubule cytoskeleton
rs17407280	GO:0016192	vesicle-mediated transport
rs17407280	GO:0016887	ATP hydrolysis activity
rs17407280	GO:0030030	cell projection organization
rs17407280	GO:0030425	dendrite
rs17407280	GO:0031503	protein-containing complex localization
rs17407280	GO:0032391	photoreceptor connecting cilium
rs17407280	GO:0032839	dendrite cytoplasm
rs17407280	GO:0036064	ciliary basal body
rs17407280	GO:0042995	cell projection
rs17407280	GO:0043005	neuron projection
rs17407280	GO:0098971	anterograde dendritic transport of neurotransmitter receptor complex
rs17407280	GO:1990075	periciliary membrane compartment
rs28594470	GO:0005886	plasma membrane
rs28594470	GO:0005887	integral component of plasma membrane
rs28594470	GO:0008519	ammonium transmembrane transporter activity
rs28594470	GO:0016020	membrane
rs28594470	GO:0072488	ammonium transmembrane transport
rs28594470	GO:0097272	ammonium homeostasis
rs574384	GO:0000502	proteasome complex
rs574384	GO:0005515	protein binding
rs574384	GO:0005634	nucleus
rs574384	GO:0005654	nucleoplasm
rs574384	GO:0005839	proteasome core complex
rs574384	GO:0010243	response to organonitrogen compound
rs574384	GO:0010498	proteasomal protein catabolic process
rs574384	GO:0014070	response to organic cyclic compound
rs574384	GO:0019774	proteasome core complex - beta-subunit complex
rs574384	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
rs574384	GO:0051603	proteolysis involved in protein catabolic process
rs574384	GO:0070062	extracellular exosome
rs12742756	GO:0001701	in utero embryonic development
rs12742756	GO:0003824	catalytic activity
rs12742756	GO:0004439	phosphatidylinositol-4-5-bisphosphate 5-phosphatase activity
rs12742756	GO:0005768	endosome
rs12742756	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment
rs12742756	GO:0005794	Golgi apparatus
rs12742756	GO:0006629	lipid metabolic process
rs12742756	GO:0007165	signal transduction
rs12742756	GO:0007283	spermatogenesis
rs12742756	GO:0016787	hydrolase activity
rs12742756	GO:0016791	phosphatase activity
rs12742756	GO:0019637	organophosphate metabolic process
rs12742756	GO:0030317	flagellated sperm motility
rs12742756	GO:0030670	phagocytic vesicle membrane
rs12742756	GO:0031410	cytoplasmic vesicle
rs12742756	GO:0031901	early endosome membrane
rs12742756	GO:0043647	inositol phosphate metabolic process
rs12742756	GO:0046855	inositol phosphate dephosphorylation
rs12742756	GO:0046856	phosphatidylinositol dephosphorylation
rs12742756	GO:0046872	metal ion binding
rs12742756	GO:0052658	inositol-1-4-5-trisphosphate 5-phosphatase activity
rs12742756	GO:0052659	inositol-1-3-4-5-tetrakisphosphate 5-phosphatase activity
rs12742756	GO:0052745	inositol phosphate phosphatase activity
rs12742756	GO:0070613	regulation of protein processing
rs2269242	GO:0000287	magnesium ion binding
rs2269242	GO:0004614	phosphoglucomutase activity
rs2269242	GO:0005576	extracellular region
rs2269242	GO:0005975	carbohydrate metabolic process
rs2269242	GO:0006006	glucose metabolic process
rs2269242	GO:0006094	gluconeogenesis
rs2269242	GO:0006096	glycolytic process
rs2269242	GO:0016853	isomerase activity
rs2269242	GO:0016868	intramolecular transferase activity - phosphotransferases
rs2269242	GO:0071704	organic substance metabolic process
rs2269242	GO:1904724	tertiary granule lumen
rs2269242	GO:1904813	ficolin-1-rich granule lumen
rs1983853	GO:0004930	G protein-coupled receptor activity
rs1983853	GO:0007186	G protein-coupled receptor signaling pathway
rs1983853	GO:0007187	G protein-coupled receptor signaling pathway - coupled to cyclic nucleotide second messenger
rs1983853	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
rs1983853	GO:0007204	positive regulation of cytosolic calcium ion concentration
rs1983853	GO:0007268	chemical synaptic transmission
rs1983853	GO:0008289	lipid binding
rs1983853	GO:0010467	gene expression
rs1983853	GO:0016021	integral component of membrane
rs1983853	GO:0019222	regulation of metabolic process
rs1983853	GO:0030424	axon
rs1983853	GO:0032060	bleb assembly
rs1983853	GO:0043410	positive regulation of MAPK cascade
rs1983853	GO:0045202	synapse
rs1983853	GO:0048668	collateral sprouting
rs1983853	GO:0048672	positive regulation of collateral sprouting
rs1983853	GO:0070915	lysophosphatidic acid receptor activity
rs34090353	GO:0004721	phosphoprotein phosphatase activity
rs34090353	GO:0004722	protein serine/threonine phosphatase activity
rs34090353	GO:0005730	nucleolus
rs34090353	GO:0008420	RNA polymerase II CTD heptapeptide repeat phosphatase activity
rs34090353	GO:0009301	snRNA transcription
rs34090353	GO:0016591	RNA polymerase II - holoenzyme
rs34090353	GO:0017018	myosin phosphatase activity
